Rank	Full.Journal.Title	Issn	Total.Cites	Journal.Impact.Factor	5-Year.Impact.Factor	Eigenfactor.Score
3281	"Greenhouse Gases-Science and Technology"	2152-3878	290	2.147	2.674	0.001230
3281	"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES"	1364-503X	"Not Available"	2.147	3.038	0.031120
3281	"TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY"	0280-6509	"Not Available"	2.147	3.003	0.006560
3284	"Human Genomics"	1473-9542	666	2.146	"Not Available"	0.002740
3285	"AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY"	0091-0562	"Not Available"	2.145	2.657	0.005000
3286	"Insect Science"	1672-9609	997	2.144	1.759	0.002500
3286	"LARYNGOSCOPE"	0023-852X	"Not Available"	2.144	2.328	0.025590
3288	"PARASITE IMMUNOLOGY"	0141-9838	"Not Available"	2.143	2.220	0.003720
3289	"PHYSICS OF PLASMAS"	1070-664X	"Not Available"	2.142	2.100	0.050690
3289	"Physica Status Solidi-Rapid Research Letters"	1862-6254	"Not Available"	2.142	2.115	0.008310
329	"Conservation Letters"	1755-263X	"Not Available"	7.241	6.416	0.009440
3291	"Archives of Cardiovascular Diseases"	1875-2136	792	2.140	"Not Available"	0.003720
3291	"FORENSIC SCIENCE INTERNATIONAL"	0379-0738	"Not Available"	2.140	2.345	0.016720
3291	"Molecular Cytogenetics"	1755-8166	432	2.140	2.046	0.001780
3294	"JOURNAL OF SOILS AND SEDIMENTS"	1439-0108	"Not Available"	2.139	2.598	0.006920
3295	"ELECTROANALYSIS"	1040-0397	"Not Available"	2.138	2.409	0.012990
3295	"GENE"	0378-1119	"Not Available"	2.138	2.185	0.025590
3295	"HUMAN IMMUNOLOGY"	0198-8859	"Not Available"	2.138	2.343	0.009920
3298	"CELLS TISSUES ORGANS"	1422-6405	"Not Available"	2.137	2.057	0.004220
3298	"INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED"	0020-1383	"Not Available"	2.137	2.485	0.017920
3298	"TISSUE ANTIGENS"	0001-2815	"Not Available"	2.137	2.039	0.004510
3298	"TOXICOLOGIC PATHOLOGY"	0192-6233	"Not Available"	2.137	2.354	0.005400
33	"CANCER CELL"	1535-6108	"Not Available"	23.523	27.252	0.106800
330	"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY"	0079-6565	"Not Available"	7.237	6.281	0.004310
3302	"AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS"	1052-7613	"Not Available"	2.136	2.270	0.004180
3303	"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY"	0160-2446	"Not Available"	2.135	2.243	0.007700
3303	"JOURNAL OF NONLINEAR SCIENCE"	0938-8974	812	2.135	2.013	0.003640
3305	"COMPUTERS & STRUCTURES"	0045-7949	"Not Available"	2.134	2.528	0.013880
3305	"LANGUAGE AND COGNITIVE PROCESSES"	0169-0965	"Not Available"	2.134	2.377	0.004710
3305	"Minerva Anestesiologica"	0375-9393	"Not Available"	2.134	1.847	0.005100
3308	"JOURNAL OF SOLID STATE CHEMISTRY"	0022-4596	"Not Available"	2.133	2.344	0.022040
3308	"PSYCHIATRIC CLINICS OF NORTH AMERICA"	0193-953X	"Not Available"	2.133	2.783	0.003790
3308	"Structural Control & Health Monitoring"	1545-2255	"Not Available"	2.133	2.309	0.003410
331	"CANCER AND METASTASIS REVIEWS"	0167-7659	"Not Available"	7.234	9.312	0.011050
3311	"Perspectives on Politics"	1537-5927	"Not Available"	2.132	2.661	0.006570
3312	"COMPUTATIONAL MATERIALS SCIENCE"	0927-0256	"Not Available"	2.131	2.188	0.026650
3312	"INTERMETALLICS"	0966-9795	"Not Available"	2.131	2.204	0.015170
3312	"INTERNATIONAL BIODETERIORATION & BIODEGRADATION"	0964-8305	"Not Available"	2.131	2.377	0.007590
3315	"JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS"	0196-206X	"Not Available"	2.129	2.523	0.005440
3317	"International Journal of Clinical Oncology"	1341-9625	"Not Available"	2.128	1.745	0.004530
3317	"JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC"	1381-1177	"Not Available"	2.128	2.622	0.009380
3319	"ATTACHMENT & HUMAN DEVELOPMENT"	1461-6734	"Not Available"	2.127	2.532	0.002080
3319	"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY"	1747-0218	"Not Available"	2.127	2.449	0.012210
3319	"SYNAPSE"	0887-4476	"Not Available"	2.127	2.284	0.006520
332	"JOURNAL OF INVESTIGATIVE DERMATOLOGY"	0022-202X	"Not Available"	7.216	6.706	0.042690
3323	"INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE"	1070-5503	"Not Available"	2.126	2.512	0.003230
3323	"JOURNAL OF BIOMEDICAL INFORMATICS"	1532-0464	"Not Available"	2.126	3.398	0.009710
3323	"MICROVASCULAR RESEARCH"	0026-2862	"Not Available"	2.126	2.614	0.006160
3326	"BREEDING SCIENCE"	1344-7610	"Not Available"	2.125	1.672	0.002010
3326	"Management Accounting Research"	1044-5005	935	2.125	2.290	0.001030
3326	"PLANT CELL TISSUE AND ORGAN CULTURE"	0167-6857	"Not Available"	2.125	2.115	0.005790
3329	"ADVANCES IN HEALTH SCIENCES EDUCATION"	1382-4996	"Not Available"	2.124	2.688	0.004790
333	"INTENSIVE CARE MEDICINE"	0342-4642	"Not Available"	7.214	5.793	0.034480
3331	"JOURNAL OF ADDICTIVE DISEASES"	1055-0887	"Not Available"	2.123	2.351	0.002290
3331	"KIDNEY & BLOOD PRESSURE RESEARCH"	1420-4096	"Not Available"	2.123	1.774	0.002620
3331	"Preventing Chronic Disease"	1545-1151	"Not Available"	2.123	2.125	0.008790
3335	"GEO-MARINE LETTERS"	0276-0460	"Not Available"	2.122	2.286	0.002300
3336	"FEMS MICROBIOLOGY LETTERS"	0378-1097	"Not Available"	2.121	2.166	0.016900
3336	"FUNDAMENTAL & CLINICAL PHARMACOLOGY"	0767-3981	"Not Available"	2.121	2.017	0.003050
3336	"HORMONE AND METABOLIC RESEARCH"	0018-5043	"Not Available"	2.121	1.994	0.006970
3336	"PLANT PATHOLOGY"	0032-0862	"Not Available"	2.121	2.571	0.007090
3336	"Polskie Archiwum Medycyny Wewnetrznej-Polish Archives of Internal Medicine"	0032-3772	811	2.121	1.435	0.001740
334	"CURRENT OPINION IN STRUCTURAL BIOLOGY"	0959-440X	"Not Available"	7.201	8.077	0.030910
3341	"BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY"	1521-6926	"Not Available"	2.120	2.423	0.003220
3341	"GROUP DECISION AND NEGOTIATION"	0926-2644	822	2.120	1.721	0.001250
3341	"Health and Quality of Life Outcomes"	1477-7525	"Not Available"	2.120	2.835	0.010390
3341	"JOURNAL OF PALEOLIMNOLOGY"	0921-2728	"Not Available"	2.120	2.333	0.005380
3341	"PEDIATRIC CLINICS OF NORTH AMERICA"	0031-3955	"Not Available"	2.120	2.307	0.005370
3347	"PERMAFROST AND PERIGLACIAL PROCESSES"	1045-6740	"Not Available"	2.119	3.146	0.002660
3348	"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE"	0141-0768	"Not Available"	2.118	1.751	0.003570
3349	"CURRENT ORGANIC SYNTHESIS"	1570-1794	853	2.117	2.425	0.001710
3349	"JOURNAL OF INTERNATIONAL MONEY AND FINANCE"	0261-5606	"Not Available"	2.117	1.916	0.005910
335	"JACC-Cardiovascular Imaging"	1936-878X	"Not Available"	7.188	6.754	0.024610
3351	"JOURNAL OF THEORETICAL BIOLOGY"	0022-5193	"Not Available"	2.116	2.239	0.025670
3352	"AMERICAN JOURNAL OF CRITICAL CARE"	1062-3264	"Not Available"	2.115	2.193	0.002540
3353	"Mobile DNA"	1759-8753	304	2.114	2.145	0.001130
3353	"Transcultural Psychiatry"	1363-4615	719	2.114	1.826	0.001860
3355	"CLINICAL OTOLARYNGOLOGY"	1749-4478	"Not Available"	2.113	2.727	0.002930
3355	"SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT"	1079-0632	985	2.113	2.423	0.001510
3357	"PeerJ"	2167-8359	655	2.112	2.112	0.002770
3358	"ARTIFICIAL INTELLIGENCE REVIEW"	0269-2821	996	2.111	2.707	0.002070
3358	"JOURNAL OF FINANCIAL MARKETS"	1386-4181	847	2.111	2.058	0.003840
336	"CRITICAL REVIEWS IN BIOTECHNOLOGY"	0738-8551	"Not Available"	7.178	6.854	0.002690
3360	"IEEE PHOTONICS TECHNOLOGY LETTERS"	1041-1135	"Not Available"	2.110	1.886	0.031460
3360	"INTERNATIONAL ORTHOPAEDICS"	0341-2695	"Not Available"	2.110	2.356	0.014330
3360	"JOURNAL OF INVERTEBRATE PATHOLOGY"	0022-2011	"Not Available"	2.110	2.419	0.007500
3360	"Particuology"	1674-2001	"Not Available"	2.110	2.312	0.004270
3364	"DERMATOLOGIC SURGERY"	1076-0512	"Not Available"	2.109	2.083	0.009430
3364	"URBAN FORESTRY & URBAN GREENING"	1618-8667	"Not Available"	2.109	2.721	0.002240
3367	"JOURNAL OF ANIMAL SCIENCE"	0021-8812	"Not Available"	2.108	2.586	0.024440
3368	"BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY"	0273-0979	"Not Available"	2.107	2.928	0.004880
3368	"CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS"	1522-1946	"Not Available"	2.107	2.050	0.020060
3368	"Clinical Breast Cancer"	1526-8209	"Not Available"	2.107	2.439	0.003740
337	"JAMA Pediatrics"	2168-6203	"Not Available"	7.148	7.157	0.005690
3371	"Diabetes Technology & Therapeutics"	1520-9156	"Not Available"	2.106	2.118	0.007420
3371	"JOURNAL OF GLAUCOMA"	1057-0829	"Not Available"	2.106	1.993	0.005400
3373	"Neurosurgical Focus"	1092-0684	"Not Available"	2.105	2.893	0.010900
3374	"ANTIPODE"	0066-4812	"Not Available"	2.104	2.917	0.007080
3374	"JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY"	1464-1801	"Not Available"	2.104	2.171	0.002120
3376	"ANNALS OF PHYSICS"	0003-4916	"Not Available"	2.103	2.433	0.013200
3376	"Journal of Research on Educational Effectiveness"	1934-5747	204	2.103	"Not Available"	0.001510
3378	"ANNALS OF OCCUPATIONAL HYGIENE"	0003-4878	"Not Available"	2.101	2.035	0.004040
3378	"DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY"	0363-9045	"Not Available"	2.101	1.943	0.004760
3378	"EUROPEAN ADDICTION RESEARCH"	1022-6877	896	2.101	2.219	0.001900
338	"CURRENT OPINION IN BIOTECHNOLOGY"	0958-1669	"Not Available"	7.117	7.983	0.024600
3382	"Advances in Carbohydrate Chemistry and Biochemistry"	0065-2318	720	2.100	5.200	0.000680
3382	"INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE"	0020-7721	"Not Available"	2.100	1.859	0.005470
3384	"Administration and Policy in Mental Health and Mental Health Services Research"	0894-587X	"Not Available"	2.098	3.367	0.003640
3384	"NATURWISSENSCHAFTEN"	0028-1042	"Not Available"	2.098	2.076	0.007470
3384	"PARASITOLOGY RESEARCH"	0932-0113	"Not Available"	2.098	2.251	0.017140
3387	"DIGESTION"	0012-2823	"Not Available"	2.097	2.247	0.003960
3387	"JOURNAL OF ANATOMY"	0021-8782	"Not Available"	2.097	2.586	0.008710
3387	"SUPERLATTICES AND MICROSTRUCTURES"	0749-6036	"Not Available"	2.097	1.885	0.006460
3387	"Substance Abuse"	0889-7077	715	2.097	2.409	0.002010
339	"Particle and Fibre Toxicology"	1743-8977	"Not Available"	7.113	9.254	0.007530
3392	"HISTOLOGY AND HISTOPATHOLOGY"	0213-3911	"Not Available"	2.096	2.145	0.007240
3392	"NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS"	0028-8306	"Not Available"	2.096	1.277	0.001260
3394	"AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV"	0954-0121	"Not Available"	2.095	2.440	0.013380
3394	"EPL"	0295-5075	"Not Available"	2.095	2.024	0.066200
3394	"EUROPEAN JOURNAL OF FOREST RESEARCH"	1612-4669	"Not Available"	2.095	2.265	0.005170
3394	"IEEE Geoscience and Remote Sensing Letters"	1545-598X	"Not Available"	2.095	2.339	0.012510
3394	"Journal of Anthropological Sciences"	1827-4765	165	2.095	1.849	0.000480
3399	"Aerosol and Air Quality Research"	1680-8584	"Not Available"	2.094	2.155	0.004130
3399	"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS"	1074-2484	891	2.094	1.989	0.002440
3399	"JOURNAL OF CEREAL SCIENCE"	0733-5210	"Not Available"	2.094	2.728	0.007160
34	"Annual Review of Plant Biology"	1543-5008	"Not Available"	23.300	28.148	0.022410
340	"PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES"	0962-8436	"Not Available"	7.055	7.885	0.079490
3402	"FORESTRY"	0015-752X	"Not Available"	2.093	2.296	0.002460
3402	"INTERNATIONAL JOURNAL OF EARTH SCIENCES"	1437-3254	"Not Available"	2.093	2.682	0.007890
3404	"Asia Pacific Journal of Management"	0217-4561	"Not Available"	2.091	2.500	0.002200
3404	"Chemistry Education Research and Practice"	1109-4028	758	2.091	1.832	0.001400
3407	"European Journal of Work and Organizational Psychology"	1359-432X	"Not Available"	2.090	2.615	0.002760
3407	"Journal of Physical Activity & Health"	1543-3080	"Not Available"	2.090	2.789	0.009250
3407	"MAGNETIC RESONANCE IMAGING"	0730-725X	"Not Available"	2.090	2.218	0.011050
3407	"MOLECULES AND CELLS"	1016-8478	"Not Available"	2.090	2.274	0.007740
341	"NEUROPSYCHOPHARMACOLOGY"	0893-133X	"Not Available"	7.048	8.168	0.050060
3411	"BIRTH DEFECTS RESEARCH PART A-CLINICAL AND MOLECULAR TERATOLOGY"	1542-0752	"Not Available"	2.089	2.725	0.007260
3412	"IEEE CONTROL SYSTEMS MAGAZINE"	1066-033X	"Not Available"	2.088	3.516	0.004300
3412	"INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE"	1107-3756	"Not Available"	2.088	2.012	0.010860
3412	"JOURNAL OF HEREDITY"	0022-1503	"Not Available"	2.088	2.417	0.006260
3412	"Methods in Enzymology"	0076-6879	"Not Available"	2.088	2.272	0.025330
3416	"COMMUNICATIONS IN MATHEMATICAL PHYSICS"	0010-3616	"Not Available"	2.086	2.082	0.038470
3416	"Frontiers of Physics"	2095-0462	392	2.086	1.872	0.002130
3416	"INFANCY"	1525-0008	"Not Available"	2.086	2.829	0.003610
3416	"JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY"	0142-4319	"Not Available"	2.086	1.842	0.001570
3416	"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT"	1436-3240	"Not Available"	2.086	2.348	0.004810
3416	"SWISS MEDICAL WEEKLY"	1424-7860	"Not Available"	2.086	1.922	0.006520
342	"ANNALS OF ONCOLOGY"	0923-7534	"Not Available"	7.040	6.885	0.080770
3422	"Management Communication Quarterly"	0893-3189	744	2.085	1.838	0.001600
3422	"NETWORKS & SPATIAL ECONOMICS"	1566-113X	635	2.085	2.081	0.001680
3424	"BIOTROPICA"	0006-3606	"Not Available"	2.084	2.493	0.006450
3424	"ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY"	1382-6689	"Not Available"	2.084	2.205	0.005400
3424	"PSYCHOPATHOLOGY"	0254-4962	"Not Available"	2.084	2.156	0.002380
3428	"BMC Medical Genetics"	1471-2350	"Not Available"	2.083	2.409	0.008430
3428	"International Journal of Simulation Modelling"	1726-4529	142	2.083	"Not Available"	0.000320
3428	"JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY"	1380-3395	"Not Available"	2.083	2.483	0.006230
3428	"MATERNAL AND CHILD HEALTH JOURNAL"	1092-7875	"Not Available"	2.083	2.414	0.010390
3428	"NEPHROLOGY"	1320-5358	"Not Available"	2.083	1.930	0.005340
3428	"NEUROCOMPUTING"	0925-2312	"Not Available"	2.083	2.292	0.017940
3428	"Studies in Science Education"	0305-7267	321	2.083	3.061	0.000700
343	"FRONTIERS IN NEUROENDOCRINOLOGY"	0091-3022	"Not Available"	7.037	9.656	0.008010
3437	"EYE"	0950-222X	"Not Available"	2.082	2.079	0.012120
3437	"International Forum of Allergy & Rhinology"	2042-6976	838	2.082	2.083	0.002810
3439	"BIOINORGANIC CHEMISTRY AND APPLICATIONS"	1565-3633	515	2.081	1.813	0.000860
3439	"PALAEONTOLOGIA ELECTRONICA"	1935-3952	"Not Available"	2.081	1.970	0.001810
344	"INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY"	0144-235X	"Not Available"	7.034	6.282	0.002680
3441	"Fuel Cells"	1615-6846	"Not Available"	2.080	2.624	0.005420
3441	"United European Gastroenterology Journal"	2050-6406	114	2.080	2.080	0.000380
3443	"Pervasive and Mobile Computing"	1574-1192	750	2.079	2.325	0.003700
3444	"Clinical & Translational Oncology"	1699-048X	"Not Available"	2.077	1.604	0.004110
3444	"Clinical Interventions in Aging"	1178-1998	"Not Available"	2.077	2.179	0.003450
3446	"EXPERIMENTAL PSYCHOLOGY"	1618-3169	"Not Available"	2.076	2.475	0.003840
3446	"Nanomaterials"	2079-4991	205	2.076	2.394	0.000580
3448	"JOURNAL OF BUSINESS AND PSYCHOLOGY"	0889-3268	"Not Available"	2.075	3.015	0.003960
3448	"JOURNAL OF STRENGTH AND CONDITIONING RESEARCH"	1064-8011	"Not Available"	2.075	2.584	0.015920
345	"Nano Research"	1998-0124	"Not Available"	7.010	8.387	0.017410
3450	"CLINICS IN CHEST MEDICINE"	0272-5231	"Not Available"	2.074	2.237	0.003590
3451	"COGNITIVE NEUROPSYCHOLOGY"	0264-3294	"Not Available"	2.073	2.360	0.002140
3453	"Energies"	1996-1073	"Not Available"	2.072	2.436	0.008460
3453	"JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES"	1045-389X	"Not Available"	2.072	2.263	0.008560
3453	"Journal of Perinatology"	0743-8346	"Not Available"	2.072	2.207	0.009430
3456	"CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY"	0174-1551	"Not Available"	2.071	1.906	0.009550
3456	"CHEMICAL ENGINEERING AND PROCESSING"	0255-2701	"Not Available"	2.071	2.339	0.007320
3456	"Marine Resource Economics"	0738-1360	740	2.071	2.179	0.001450
3456	"REVIEWS IN INORGANIC CHEMISTRY"	0193-4929	135	2.071	1.184	0.000170
346	"Advances in Organometallic Chemistry"	0065-3055	791	7.000	6.700	0.000310
3461	"ACCIDENT ANALYSIS AND PREVENTION"	0001-4575	"Not Available"	2.070	2.699	0.019190
3461	"Expert Review of Hematology"	1747-4086	587	2.070	1.874	0.003170
3461	"Immunotherapy"	1750-743X	985	2.070	2.173	0.004230
3461	"JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH"	1092-4388	"Not Available"	2.070	2.795	0.009120
3466	"JOURNAL OF BEHAVIORAL DECISION MAKING"	0894-3257	"Not Available"	2.069	2.526	0.004120
3467	"REGIONAL STUDIES"	0034-3404	"Not Available"	2.068	2.372	0.006320
3468	"CURRENT OPINION IN OBSTETRICS & GYNECOLOGY"	1040-872X	"Not Available"	2.067	2.206	0.004060
3468	"IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING"	1041-4347	"Not Available"	2.067	2.873	0.013970
347	"ECOLOGICAL MONOGRAPHS"	0012-9615	"Not Available"	6.980	10.106	0.009490
3470	"AUTONOMOUS ROBOTS"	0929-5593	"Not Available"	2.066	2.170	0.003610
3470	"CANCER IMAGING"	1470-7330	785	2.066	2.460	0.002110
3470	"EUROPEAN JOURNAL OF HAEMATOLOGY"	0902-4441	"Not Available"	2.066	2.237	0.008130
3470	"EUROPEAN SPINE JOURNAL"	0940-6719	"Not Available"	2.066	2.497	0.020960
3470	"Journal of Biomaterials and Tissue Engineering"	2157-9083	352	2.066	2.102	0.000360
3470	"PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN"	0004-6264	"Not Available"	2.066	2.032	0.013940
3476	"Annals of Hepatology"	1665-2681	"Not Available"	2.065	2.035	0.004050
3476	"HEART AND VESSELS"	0910-8327	"Not Available"	2.065	1.785	0.002600
3476	"INTERNATIONAL JOURNAL OF SPORTS MEDICINE"	0172-4622	"Not Available"	2.065	2.453	0.007100
3479	"JOURNAL OF BIOSCIENCES"	0250-5991	"Not Available"	2.064	2.067	0.003660
3479	"Journal of Optical Communications and Networking"	1943-0620	"Not Available"	2.064	1.783	0.006010
3479	"Transplant Infectious Disease"	1398-2273	"Not Available"	2.064	2.043	0.005400
348	"PLANT CELL AND ENVIRONMENT"	0140-7791	"Not Available"	6.960	6.643	0.024310
3482	"International Journal of Environmental Research and Public Health"	1660-4601	"Not Available"	2.063	2.493	0.016840
3483	"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS"	0742-1222	"Not Available"	2.062	3.071	0.003010
3483	"QUATERNARY INTERNATIONAL"	1040-6182	"Not Available"	2.062	2.481	0.021340
3486	"INTERNATIONAL JOURNAL OF MULTIPHASE FLOW"	0301-9322	"Not Available"	2.061	2.374	0.007540
3487	"JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT"	0923-4748	694	2.060	2.081	0.000680
3489	"ANNALS OF PHARMACOTHERAPY"	1060-0280	"Not Available"	2.059	2.199	0.010660
3489	"JOURNAL OF ENGINEERING EDUCATION"	1069-4730	"Not Available"	2.059	2.722	0.002260
3489	"Journal of Optics"	2040-8978	"Not Available"	2.059	1.887	0.011940
3489	"SYSTEMS & CONTROL LETTERS"	0167-6911	"Not Available"	2.059	2.448	0.013050
349	"CLINICAL PSYCHOLOGY REVIEW"	0272-7358	"Not Available"	6.932	10.435	0.024160
3494	"Digestive Endoscopy"	0915-5635	"Not Available"	2.058	1.976	0.004040
3494	"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE"	0040-1625	"Not Available"	2.058	2.634	0.007170
3496	"ESTUARINE COASTAL AND SHELF SCIENCE"	0272-7714	"Not Available"	2.057	2.603	0.018840
3497	"IRRIGATION SCIENCE"	0342-7188	"Not Available"	2.056	2.429	0.003380
3497	"JOURNAL OF FISH DISEASES"	0140-7775	"Not Available"	2.056	2.112	0.005090
3497	"PLASMA CHEMISTRY AND PLASMA PROCESSING"	0272-4324	"Not Available"	2.056	1.887	0.002380
35	"LANCET INFECTIOUS DISEASES"	1473-3099	"Not Available"	22.433	19.094	0.048810
350	"JOURNAL OF CATALYSIS"	0021-9517	"Not Available"	6.921	7.310	0.035500
3500	"Comparative Biochemistry and Physiology D-Genomics & Proteomics"	1744-117X	640	2.055	2.107	0.001460
3500	"DNA AND CELL BIOLOGY"	1044-5498	"Not Available"	2.055	2.089	0.004620
3500	"INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING"	0029-5981	"Not Available"	2.055	2.694	0.025800
3503	"COMPUTERS & GEOSCIENCES"	0098-3004	"Not Available"	2.054	2.214	0.014240
3503	"Developing World Bioethics"	1471-8731	238	2.054	1.688	0.000890
3503	"Journal of Immunotoxicology"	1547-691X	565	2.054	1.947	0.001520
3507	"Journal of Cardiovascular Nursing"	0889-4655	"Not Available"	2.053	2.193	0.003010
3507	"RESOURCES POLICY"	0301-4207	909	2.053	2.288	0.002360
351	"Journal of Molecular Cell Biology"	1674-2788	"Not Available"	6.870	7.597	0.005730
3510	"ADVANCES IN CHRONIC KIDNEY DISEASE"	1548-5595	"Not Available"	2.052	2.399	0.003530
3510	"International Journal for Numerical Methods in Biomedical Engineering"	2040-7939	730	2.052	1.655	0.004010
3512	"Journal of Psychiatric Practice"	1527-4160	776	2.051	2.158	0.001560
3513	"ARTIFICIAL ORGANS"	0160-564X	"Not Available"	2.050	1.652	0.004710
3513	"Developmental Neurorehabilitation"	1751-8423	758	2.050	2.506	0.002580
3513	"Hernia"	1265-4906	"Not Available"	2.050	2.025	0.004490
3513	"JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT"	1610-0379	"Not Available"	2.050	1.753	0.003690
3513	"JOURNAL OF WOMENS HEALTH"	1540-9996	"Not Available"	2.050	2.183	0.011960
3519	"IET Control Theory and Applications"	1751-8644	"Not Available"	2.048	2.337	0.012310
352	"RADIOLOGY"	0033-8419	"Not Available"	6.867	7.259	0.076860
3520	"ARCHIVES OF PHARMACAL RESEARCH"	0253-6269	"Not Available"	2.046	2.031	0.008250
3520	"GEOFLUIDS"	1468-8115	855	2.046	2.522	0.002940
3520	"INORGANICA CHIMICA ACTA"	0020-1693	"Not Available"	2.046	1.853	0.017380
3523	"Techniques in Coloproctology"	1123-6337	"Not Available"	2.044	1.687	0.002770
3524	"APMIS"	0903-4641	"Not Available"	2.042	2.058	0.005330
3524	"Body Image"	1740-1445	"Not Available"	2.042	2.496	0.003670
3524	"CORNEA"	0277-3740	"Not Available"	2.042	2.000	0.012470
3524	"EUROPEAN JOURNAL OF HISTOCHEMISTRY"	1121-760X	808	2.042	1.687	0.001040
3524	"JOURNAL OF REGIONAL SCIENCE"	0022-4146	"Not Available"	2.042	2.500	0.004130
3524	"JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY"	1388-6150	"Not Available"	2.042	1.750	0.013280
353	"PLANT PHYSIOLOGY"	0032-0889	"Not Available"	6.841	8.030	0.092000
3530	"METROLOGIA"	0026-1394	"Not Available"	2.041	1.978	0.005630
3531	"BMC Neurology"	1471-2377	"Not Available"	2.040	2.563	0.009790
3531	"JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS"	0393-974X	828	2.040	1.842	0.002200
3533	"JOURNAL OF PUBLIC HEALTH"	1741-3842	"Not Available"	2.039	2.456	0.005440
3533	"Vitamins and Hormones"	0083-6729	"Not Available"	2.039	2.395	0.002950
3536	"JOURNAL OF CHEMICAL AND ENGINEERING DATA"	0021-9568	"Not Available"	2.037	2.165	0.024010
3536	"Journal of Hand Surgery-European Volume"	1753-1934	"Not Available"	2.037	1.900	0.004930
3538	"APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS"	1063-5203	"Not Available"	2.036	3.220	0.009470
3538	"EXPERIMENTAL BRAIN RESEARCH"	0014-4819	"Not Available"	2.036	2.419	0.025510
3538	"JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY"	0340-7594	"Not Available"	2.036	2.103	0.005300
354	"NEUROSCIENTIST"	1073-8584	"Not Available"	6.837	6.675	0.008820
3541	"COMPTES RENDUS PHYSIQUE"	1631-0705	"Not Available"	2.035	1.769	0.005530
3542	"BMC BIOTECHNOLOGY"	1472-6750	"Not Available"	2.034	2.511	0.005970
3542	"INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES"	0020-7403	"Not Available"	2.034	2.287	0.009090
3542	"Journal of Agrarian Change"	1471-0358	576	2.034	2.260	0.002340
3545	"DYSPHAGIA"	0179-051X	"Not Available"	2.033	2.244	0.002480
3545	"QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING"	1824-4785	998	2.033	2.015	0.002600
3547	"Allergy Asthma and Clinical Immunology"	1710-1484	464	2.032	"Not Available"	0.001650
3547	"CHILD PSYCHIATRY & HUMAN DEVELOPMENT"	0009-398X	"Not Available"	2.032	2.551	0.003670
3547	"COMPARATIVE AND FUNCTIONAL GENOMICS"	1531-6912	453	2.032	1.825	0.001030
355	"CHEMICAL COMMUNICATIONS"	1359-7345	"Not Available"	6.834	6.779	0.350820
